lichess_id,ply,result,risck_player
nzDbFgS8,128,1/2-1/2,Black
O0oQV0DJ,144,1/2-1/2,Black
M6V6Bs7D,98,0-1,Black
KDJ8rEC6,67,1-0,White
DpUQEGcQ,74,0-1,Black
HCeDMMhB,73,1-0,White
Hf3WgQ8z,67,1-0,White
dDgmAf27,96,1-0,Black
n9yL89m6,78,1-0,Black
UEJvJz8j,85,1-0,White
l0qGEjYV,73,1-0,White
0HVZTQlU,62,0-1,Black
u9homuod,83,1/2-1/2,White
KWtOMbFQ,88,1-0,Black
w9ncUftE,57,1-0,White
cKkPzYCY,75,1-0,White
lRHBkdnT,62,0-1,Black
HwRBTvOC,75,1-0,White
Eeb2G48V,102,0-1,Black
e5FCtCN1,90,0-1,Black
sLCD3QWf,71,1-0,White
nbOcAOtV,82,0-1,Black
9cvX1aZs,83,1-0,White
Xhk1KHsp,72,1-0,Black
MY9eSbSw,58,0-1,Black
6gFQlLuM,96,1-0,Black
VK6nCuRk,106,1-0,Black
62TiFp3R,76,1-0,Black
EzjoaBiO,94,1-0,Black
CQWdYssP,91,1-0,White
jowvXd4S,85,0-1,White
niDllFT5,86,1-0,Black
rtERucQL,80,0-1,Black
Sa6bBKvE,40,1-0,Black
QODjcsy8,54,0-1,Black
TZmoocdF,48,0-1,Black
xljhOQD3,76,0-1,Black
W0ZcGgvV,77,1-0,White
smOwa9uZ,62,0-1,Black
GgnE180U,63,0-1,White
LBCDvfuO,54,0-1,Black
2n5o0PHI,67,1-0,White
UgVHvkeG,71,1-0,White
UGW6Oftl,23,1-0,White
17sKfN1s,71,1-0,White
R2YQ7fwy,109,1-0,White
pWhuZ8GC,57,1-0,White
JB7IZ1Wy,70,0-1,Black
b2leZYd4,97,1-0,White
i1tSeaXK,47,1-0,White
5MkiAiKM,113,1-0,White
ix0WsDHO,113,1/2-1/2,White
nlq8kRuM,92,0-1,Black
WRxQ4pNO,53,1-0,White
5mqMx90D,52,0-1,Black
81zBcCeQ,84,0-1,Black
32LonQIo,64,0-1,Black
47iXM48g,95,1-0,White
zIm4mma8,94,0-1,Black
tFR0AtPg,67,1-0,White
5kN5Dhhp,69,1-0,White
KLTvChxs,138,0-1,Black
6yp7ocNV,64,0-1,Black
NzbKV8kz,138,0-1,Black
pBE3Z4i9,63,1-0,White
j9zjHZ7R,64,0-1,Black
8sRUHh5v,83,1-0,White
PBpt2z72,81,1-0,White
KZMyA8Qs,38,0-1,Black
76mSoYyx,44,0-1,Black
gjI6tzL8,73,0-1,White
p9d1BMqK,88,1-0,Black
Hp2cQK8s,55,1-0,White
oEpX6w3y,73,1-0,White
Sx91fw4B,53,1-0,White
LYvSNjGB,83,1-0,White
2buYGkCI,76,1-0,Black
obWY9cor,100,0-1,Black
HJwoUiNh,54,0-1,Black
arVPj6V5,64,1-0,Black
CoDu9oNZ,96,0-1,Black
VbBPkUQx,71,1-0,White
NmkoC2i8,95,1/2-1/2,White
ZRIaf6tD,68,0-1,Black
HcTleuIG,79,1-0,White
ujjQ3h0v,64,0-1,Black
YYRb4Nes,76,0-1,Black
gtJaZ6P3,101,1-0,White
5cNR6Wv2,77,1-0,White
KE5yR4yw,93,1-0,White
5pkqpm8W,54,0-1,Black
EvGHd5T8,75,0-1,White
irfrGdXi,51,1-0,White
tuX0qCoV,87,1-0,White
akoeRm4k,110,1-0,Black
YmlbOu88,75,1-0,White
1XWtUbSY,104,0-1,Black
1XWtUbSY,106,0-1,Black
7SU7NWPc,133,1-0,White
PnKtC7AW,138,1-0,Black
ZzZfyHr0,63,1/2-1/2,White
I0n1S0KY,68,0-1,Black
pfTnMNOz,75,0-1,White
of37Sl6k,129,1-0,White
Rfd058jz,63,0-1,White
RjPGoCxR,63,1-0,White
0gM5HiK8,41,1-0,White
A1C6oyaE,47,1-0,White
lQIPYVq6,90,1-0,Black
lQIPYVq6,94,1-0,Black
8LHBYb3U,85,1-0,White
SXZg6rgw,92,0-1,Black
VW6727jK,44,0-1,Black
FRmi1o9U,144,0-1,Black
Q9Kri8Ik,82,0-1,Black
tP6bhRN0,79,1-0,White
xP38Yz0W,61,1-0,White
W6HrhNGn,37,1-0,White
hpE8CjDc,107,1-0,White
4O7sktDR,85,0-1,White
udFySY6O,71,1-0,White
R5OlBaXO,83,1-0,White
3l9SzwEt,52,1-0,Black
P4ubgwnX,75,1-0,White
EBcVC7nW,71,0-1,White
dK8G2wu1,78,1-0,Black
OzS0QlId,122,0-1,Black
CM3FmG4x,109,0-1,White
rbS50ztM,43,1-0,White
D29Ye92J,65,1-0,White
BtEFIO0K,92,1/2-1/2,Black
Zkar4iIz,57,1-0,White
z8XmnaXn,101,1-0,White
